left,front,right,command
143,162,58,left
156,96,149,left
25,148,143,right
167,116,28,left
29,62,33,spin_right
14,113,171,right
108,105,172,right
77,7,33,back
137,5,149,back
67,38,12,spin_left
111,94,22,left
8,72,11,spin_right
49,117,107,right
155,88,90,left
54,180,142,right
45,10,157,back
29,80,121,spin_right
0,50,159,spin_right
3,80,100,spin_right
90,175,154,right
147,158,36,left
15,56,185,spin_right
99,159,32,left
157,63,58,spin_left
74,112,184,right
145,108,103,left
60,155,128,right
89,88,160,right
127,72,75,spin_left
80,108,198,right
94,156,77,left
82,128,84,right
116,177,94,left
81,71,115,spin_right
30,31,24,spin_left
128,190,183,right
85,22,87,back
74,3,107,back
80,50,4,spin_left
17,51,82,spin_right
3,144,192,right
12,182,88,right
89,85,15,left
97,198,39,left
75,191,159,right
122,146,11,left
150,44,177,spin_right
171,4,31,back
51,168,159,right
162,116,37,left
91,95,2,left
161,155,165,right
25,191,98,right
151,51,146,spin_left
101,125,85,left
163,91,53,left
98,39,180,spin_right
40,108,184,right
190,175,157,left
85,146,49,left
62,62,173,spin_right
10,150,76,right
24,170,109,right
102,78,0,spin_left
156,147,61,left
17,129,27,right
60,70,117,spin_right
58,138,93,right
77,65,99,spin_right
25,98,181,right
16,110,175,right
0,37,26,spin_right
6,2,171,back
58,102,96,right
193,160,134,left
195,154,12,left
115,72,166,spin_right
182,162,33,left
190,144,131,left
41,43,16,spin_left
113,58,86,spin_left
53,181,169,right
2,114,123,right
158,138,124,left
154,123,68,left
79,133,178,right
80,148,100,right
88,5,159,back
73,188,155,right
66,189,90,forward
46,37,66,spin_right
69,166,97,right
37,9,68,back
88,93,170,right
20,2,59,back
147,129,121,left
80,194,170,right
40,131,60,right
161,33,21,spin_left
5,69,185,spin_right
45,42,97,spin_right
85,75,53,spin_left
162,194,102,left
140,127,85,left
154,21,83,back
95,195,85,forward
68,166,23,left
122,124,39,left
98,196,62,left
30,123,138,right
129,67,178,spin_right
132,101,139,right
13,5,0,back
29,109,59,right
23,128,84,right
93,10,79,back
160,148,65,left
177,112,131,left
11,45,174,spin_right
164,41,156,spin_left
100,47,181,spin_right
197,198,102,left
136,59,167,spin_right
125,8,24,back
89,182,65,forward
36,132,58,right
142,97,72,left
52,90,194,right
117,119,23,left
5,178,122,right
74,125,140,right
91,25,31,back
110,99,15,left
69,163,40,left
49,126,69,right
131,100,129,left
22,50,68,spin_right
161,44,67,spin_left
195,132,131,left
57,183,152,right
168,143,85,left
140,5,125,back
86,197,94,forward
124,112,15,left
126,170,131,right
171,20,48,back
119,7,128,back
161,61,55,spin_left
20,126,73,right
173,198,133,forward
180,154,82,left
52,105,138,right
165,199,64,left
37,20,68,back
164,38,120,spin_left
64,183,192,right
116,51,180,spin_right
94,128,83,left
138,46,43,spin_left
149,132,63,left
103,22,57,back
25,147,137,right
97,39,23,spin_left
70,20,91,back
164,156,20,left
179,67,68,spin_left
173,73,58,spin_left
37,13,96,back
129,79,128,spin_left
62,125,28,left
151,74,187,spin_right
172,129,181,right
152,70,106,spin_left
147,92,84,left
59,167,54,left
149,78,12,spin_left
129,30,15,back
196,116,138,left
170,198,138,forward
114,119,17,left
9,199,42,right
10,190,125,right
97,177,2,left
197,18,23,back
131,107,48,left
92,122,186,right
53,26,9,back
33,146,27,left
18,57,186,spin_right
11,37,156,spin_right
114,48,198,spin_right
177,109,57,left
73,140,107,right
137,106,108,left
39,19,193,back
31,184,162,right
45,26,114,back
142,127,51,left
90,47,77,spin_left
1,75,100,spin_right
83,189,16,left
63,193,6,left
6,103,95,right
83,0,24,back
142,179,23,left
33,169,142,right
19,122,34,right
85,174,122,right
40,9,41,back
98,55,145,spin_right
160,149,105,left
87,151,39,left
109,43,123,spin_right
83,87,68,left
128,100,195,right
156,165,158,right
105,152,169,right
181,124,132,left
175,50,92,spin_left
52,67,89,spin_right
199,20,59,back
82,138,149,right
89,141,99,right
12,60,119,spin_right
92,69,69,spin_left
0,186,85,right
178,1,176,back
167,75,28,spin_left
38,42,142,spin_right
153,164,123,left
62,35,137,spin_right
127,119,183,right
137,72,178,spin_right
79,1,71,back
191,144,157,left
52,47,111,spin_right
137,0,54,back
101,73,64,spin_left
99,68,147,spin_right
17,61,173,spin_right
29,21,198,back
184,191,124,left
128,19,58,back
138,15,96,back
194,131,186,left
72,118,19,left
86,190,136,right
110,77,36,spin_left
122,155,159,right
165,191,19,left
165,93,155,left
43,124,167,right
51,173,172,right
89,44,32,spin_left
83,162,165,right
124,154,5,left
60,42,14,spin_left
85,84,75,left
45,125,82,right
142,176,173,right
5,172,78,right
81,144,48,left
181,130,104,left
121,42,31,spin_left
188,27,197,back
94,150,141,right
155,195,199,forward
134,152,105,left
134,35,30,spin_left
69,60,20,spin_left
0,79,88,spin_right
93,166,116,right
194,176,24,left
111,137,99,left
36,65,7,spin_left
2,174,81,right
167,181,1,left
152,89,57,left
166,107,123,left
13,150,3,left
102,5,37,back
0,33,64,spin_right
11,19,156,back
91,101,178,right
153,189,101,left
112,116,47,left
197,43,60,spin_left
174,155,91,left
94,84,11,left
168,153,135,left
148,74,189,spin_right
31,122,156,right
143,121,188,right
19,95,176,right
156,7,12,back
15,176,112,right
198,111,100,left
149,149,19,left
139,135,194,right
38,110,92,right
178,145,117,left
97,50,41,spin_left
14,182,97,right
190,44,0,spin_left
114,162,118,right
99,112,32,left
7,26,55,back
132,134,72,left
0,166,111,right
163,3,127,back
96,32,155,spin_right
54,130,61,right
97,123,184,right
164,98,3,left
7,180,118,right
131,150,63,left
68,44,11,spin_left
158,126,102,left
132,180,108,forward
185,140,129,left
77,112,53,left
54,46,43,spin_left
148,71,11,spin_left
141,166,187,right
163,53,56,spin_left
121,127,58,left
5,129,1,left
136,43,25,spin_left
17,79,178,spin_right
159,195,31,left
106,48,115,spin_right
105,131,48,left
109,176,181,right
129,115,13,left
125,178,108,left
64,107,12,left
120,112,58,left
69,178,51,left
107,35,86,spin_left
29,31,148,spin_right
177,160,81,left
175,194,30,left
68,96,186,right
8,121,154,right
188,132,126,left
120,59,21,spin_left
196,75,68,spin_left
147,16,76,back
110,172,189,right
60,131,100,right
46,174,152,right
92,108,168,right
163,45,160,spin_left
91,163,17,left
155,95,7,left
139,30,97,back
191,96,78,left
182,27,102,back
157,51,193,spin_right
161,17,170,back
119,173,19,left
121,192,52,left
41,190,169,right
142,27,109,back
83,64,176,spin_right
104,111,150,right
115,95,155,right
167,132,93,left
39,136,112,right
22,143,18,left
131,43,186,spin_right
56,56,65,spin_right
28,131,48,right
35,150,190,right
48,145,37,left
129,178,55,left
44,75,183,spin_right
12,104,58,right
7,62,75,spin_right
158,184,15,left
123,43,199,spin_right
67,55,95,spin_right
8,171,21,right
198,166,163,left
174,149,180,right
138,134,91,left
158,89,155,left
60,38,94,spin_right
123,162,179,right
115,111,121,right
9,133,186,right
198,74,9,spin_left
122,198,97,forward
78,92,146,right
194,187,194,forward
81,193,191,right
144,10,19,back
88,198,88,forward
38,168,1,left
125,82,183,right
54,121,54,left
124,49,110,spin_left
112,151,143,right
136,138,139,right
15,9,143,back
