left,front,right,command
0.455,0.3,0.435,forward
0.11,0.355,0.385,forward
0.075,0.47,0.82,forward
0.13,0.67,0.36,forward
0.78,0.03,0.72,back
0.305,0.69,0.04,forward
0.52,0.41,0.645,forward
0.805,0.11,0.66,spin_left
0.355,0.98,0.44,forward
0.53,0.9,0.06,forward
0.18,0.915,0.62,forward
0.4,0.725,0.355,forward
0.495,0.86,0.905,forward
0.065,0.97,0.42,forward
0.0,0.02,0.715,back
0.365,0.525,0.76,forward
0.705,0.285,0.35,forward
0.665,0.77,0.375,forward
0.69,0.98,0.405,forward
0.64,0.205,0.37,left
0.975,0.435,0.25,forward
0.97,0.18,0.8,left
0.86,0.845,0.96,forward
0.385,0.75,0.125,forward
0.685,0.485,0.505,forward
0.875,0.255,0.665,forward
0.505,0.325,0.255,forward
0.61,0.785,0.19,forward
0.145,0.18,0.06,left
0.665,0.21,0.03,left
0.45,0.985,0.905,forward
0.575,0.075,0.865,back
0.61,0.01,0.77,back
0.555,0.285,0.39,forward
0.205,0.545,0.42,forward
0.105,0.495,0.925,forward
0.33,0.105,0.925,spin_right
0.66,0.09,0.25,back
0.625,0.66,0.68,forward
0.53,0.115,0.82,spin_right
0.645,0.145,0.73,spin_right
0.195,0.305,0.025,forward
0.61,0.345,0.205,forward
0.345,0.845,0.895,forward
0.545,0.515,0.615,forward
0.685,0.96,0.535,forward
0.61,0.97,0.415,forward
0.54,0.94,0.175,forward
0.795,0.01,0.085,back
0.485,0.34,0.425,forward
0.57,0.73,0.775,forward
0.63,0.65,0.295,forward
0.38,0.465,0.265,forward
0.015,0.29,0.62,forward
0.19,0.965,0.995,forward
0.84,0.785,0.05,forward
0.235,0.795,0.5,forward
0.34,0.66,0.175,forward
0.985,0.495,0.4,forward
0.035,0.535,0.975,forward
0.37,0.43,0.14,forward
0.045,0.01,0.455,back
0.89,0.2,0.985,right
0.295,0.815,0.53,forward
0.465,0.505,0.875,forward
0.165,0.56,0.31,forward
0.65,0.935,0.57,forward
0.165,0.445,0.805,forward
0.495,0.96,0.295,forward
0.775,0.145,0.095,spin_left
0.395,0.625,0.465,forward
0.23,0.805,0.74,forward
0.62,0.645,0.595,forward
0.95,0.31,0.385,forward
0.315,0.73,0.205,forward
0.895,0.86,0.76,forward
0.435,0.295,0.57,forward
0.2,0.125,0.98,spin_right
0.745,0.565,0.34,forward
0.58,0.445,0.9,forward
0.825,0.18,0.21,left
0.075,0.91,0.76,forward
0.32,0.875,0.875,forward
0.43,0.15,0.275,spin_left
0.585,0.7,0.235,forward
0.07,0.755,0.14,forward
0.385,0.945,0.68,forward
0.365,0.945,0.165,forward
0.53,0.965,0.24,forward
0.905,0.85,0.715,forward
0.01,0.435,0.74,forward
0.22,0.0,0.145,back
0.43,0.62,0.37,forward
0.38,0.365,0.24,forward
0.425,0.82,0.74,forward
0.96,0.275,0.775,forward
0.84,0.645,0.285,forward
0.99,0.075,0.62,back
0.98,0.765,0.045,forward
0.69,0.11,0.595,spin_left
0.59,0.79,0.38,forward
0.08,0.815,0.7,forward
0.79,0.15,0.91,spin_right
0.495,0.675,0.13,forward
0.255,0.56,0.615,forward
0.435,0.14,0.05,spin_left
0.475,0.545,0.965,forward
0.345,0.49,0.775,forward
0.185,0.105,0.55,spin_right
0.735,0.48,0.855,forward
0.23,0.42,0.13,forward
0.05,0.575,0.15,forward
0.55,0.145,0.2,spin_left
0.245,0.465,0.47,forward
0.695,0.04,0.035,back
0.235,0.07,0.52,back
0.85,0.685,0.565,forward
0.53,0.045,0.915,back
0.96,0.73,0.965,forward
0.42,0.77,0.8,forward
0.075,0.4,0.77,forward
0.17,0.105,0.675,spin_right
