left,front,right,command
44,7,49,back
92,81,69,forward
43,4,57,back
78,5,41,back
29,23,20,spin_left
67,61,10,forward
21,88,36,forward
14,74,17,forward
74,99,58,forward
20,80,36,forward
22,97,71,forward
19,63,48,forward
78,80,32,forward
76,29,59,spin_left
53,56,11,forward
67,10,0,back
70,47,51,left
73,89,47,forward
91,93,2,forward
3,86,4,forward
20,52,7,forward
77,75,1,forward
53,36,87,right
79,40,9,left
85,62,11,forward
3,70,79,forward
48,84,11,forward
60,76,9,forward
96,57,16,forward
77,70,35,forward
88,86,37,forward
5,95,66,forward
88,58,37,forward
24,59,52,forward
20,13,65,back
93,90,66,forward
44,49,14,left
45,85,59,forward
6,37,53,right
16,79,96,forward
89,80,83,forward
46,87,1,forward
45,80,59,forward
94,46,17,left
53,34,86,right
92,65,6,forward
55,53,4,forward
20,18,10,back
72,85,67,forward
5,2,80,back
76,72,82,forward
22,75,15,forward
82,20,26,spin_left
73,81,92,forward
38,99,85,forward
53,94,16,forward
99,71,60,forward
14,14,1,back
57,57,43,forward
54,25,67,spin_right
62,15,26,back
52,10,99,back
61,72,86,forward
45,91,19,forward
59,58,16,forward
52,86,70,forward
21,97,83,forward
57,18,41,back
98,67,83,forward
17,62,6,forward
70,43,89,right
42,26,50,spin_right
76,70,48,forward
55,21,9,spin_left
60,62,89,forward
71,96,33,forward
93,40,26,left
4,59,40,forward
41,66,63,forward
18,90,3,forward
9,37,27,right
81,99,35,forward
61,71,41,forward
85,4,5,back
60,78,20,forward
68,29,3,spin_left
99,60,26,forward
88,62,39,forward
19,67,73,forward
41,72,12,forward
81,81,15,forward
15,29,50,spin_right
64,32,44,left
39,11,96,back
46,86,48,forward
46,11,34,back
1,37,97,right
3,77,43,forward
68,80,59,forward
16,26,20,spin_right
5,13,47,back
57,11,72,back
37,61,83,forward
90,47,77,left
69,35,92,right
59,51,90,forward
45,56,25,forward
87,40,18,left
74,58,84,forward
72,97,56,forward
83,15,26,back
4,82,92,forward
32,54,58,forward
46,97,91,forward
77,10,81,back
75,92,76,forward
38,67,88,forward
49,30,18,spin_left
12,53,39,forward
44,52,99,forward
85,8,10,back
64,49,35,left
43,14,86,back
57,98,31,forward
90,50,14,left
59,33,61,right
85,57,58,forward
88,65,46,forward
93,7,74,back
41,58,1,forward
74,74,98,forward
66,38,20,left
79,81,10,forward
32,49,1,left
36,9,79,back
11,14,12,back
3,79,13,forward
66,93,2,forward
82,55,96,forward
98,2,67,back
25,22,26,spin_right
65,84,80,forward
52,20,37,spin_left
72,5,27,back
80,53,51,forward
67,5,85,back
89,33,7,left
42,1,58,back
63,3,46,back
48,49,77,right
10,52,54,forward
48,62,97,forward
53,8,44,back
59,55,34,forward
67,32,30,left
76,0,11,back
83,61,48,forward
24,86,39,forward
30,64,26,forward
49,25,76,spin_right
83,40,20,left
18,71,37,forward
18,15,66,back
91,72,58,forward
56,13,28,back
71,61,52,forward
77,96,22,forward
69,32,14,left
42,10,5,back
16,41,92,right
3,61,44,forward
93,11,13,back
31,38,75,right
2,88,13,forward
48,41,57,right
59,42,81,right
67,14,11,back
87,66,85,forward
20,81,46,forward
69,73,8,forward
82,65,42,forward
83,61,52,forward
3,39,77,right
77,97,94,forward
52,51,39,forward
77,65,86,forward
67,54,93,forward
52,74,3,forward
86,39,34,left
31,66,36,forward
68,73,56,forward
80,25,83,spin_right
44,7,94,back
64,37,95,right
7,45,24,right
16,45,57,right
29,40,18,left
61,82,8,forward
28,89,76,forward
92,39,70,left
45,86,49,forward
90,92,44,forward
74,47,33,left
61,70,91,forward
91,53,49,forward
88,82,92,forward
46,33,96,right
34,29,73,spin_right
31,18,73,back
44,94,10,forward
60,5,28,back
62,62,12,forward
60,41,99,right
90,59,95,forward
62,12,98,back
62,70,10,forward
24,55,48,forward
76,56,27,forward
81,62,63,forward
66,90,21,forward
44,20,96,spin_right
71,52,59,forward
2,10,1,back
97,84,74,forward
16,3,30,back
29,47,47,right
1,96,41,forward
0,81,48,forward
80,7,63,back
35,8,31,back
21,40,49,right
1,66,89,forward
52,94,89,forward
95,84,16,forward
21,12,86,back
14,59,90,forward
82,37,6,left
97,56,85,forward
30,95,83,forward
42,67,55,forward
67,62,38,forward
38,66,0,forward
10,74,86,forward
60,22,84,spin_right
21,58,69,forward
78,91,97,forward
95,92,62,forward
74,24,12,spin_left
45,99,69,forward
67,49,75,right
20,74,71,forward
55,54,5,forward
92,30,53,spin_left
97,80,5,forward
11,64,55,forward
33,10,18,back
0,86,85,forward
6,58,11,forward
52,34,78,right
6,26,12,spin_right
73,41,54,left
66,56,33,forward
0,46,45,right
90,42,85,left
81,90,0,forward
0,56,93,forward
54,40,32,left
40,24,61,spin_right
94,42,34,left
41,13,30,back
30,65,28,forward
55,66,18,forward
38,84,47,forward
96,56,71,forward
78,52,24,forward
22,55,80,forward
27,94,58,forward
90,51,21,forward
38,51,67,forward
31,32,22,left
12,50,87,right
64,43,23,left
8,11,5,back
7,32,44,right
83,76,46,forward
12,47,67,right
42,80,68,forward
92,83,25,forward
65,36,71,right
23,51,53,forward
42,28,71,spin_right
85,60,76,forward
61,73,75,forward
67,32,36,left
28,20,49,spin_right
7,6,16,back
52,81,81,forward
58,40,19,left
15,78,93,forward
3,17,86,back
56,63,39,forward
51,43,81,right
98,71,96,forward
58,48,79,right
48,81,79,forward
34,48,72,right
46,69,78,forward
72,13,21,back
57,68,13,forward
1,19,83,back
99,31,70,left
22,60,47,forward
54,1,75,back
12,96,6,forward
15,73,96,forward
36,31,41,right
62,96,18,forward
0,62,15,forward
66,3,23,back
12,90,18,forward
3,47,75,right
26,52,84,forward
65,27,96,spin_right
2,62,35,forward
36,0,24,back
27,71,16,forward
98,60,89,forward
64,23,35,spin_left
85,75,84,forward
77,9,8,back
98,76,55,forward
72,88,68,forward
29,13,38,back
16,67,67,forward
41,31,80,right
23,89,75,forward
78,97,55,forward
89,36,22,left
16,30,81,spin_right
78,64,96,forward
40,56,43,forward
70,95,67,forward
49,33,1,left
50,27,29,spin_left
14,26,15,spin_right
3,42,58,right
26,60,26,forward
22,13,17,back
62,92,19,forward
0,64,24,forward
95,81,71,forward
89,2,92,back
15,71,39,forward
17,58,62,forward
44,78,67,forward
76,36,17,left
92,46,16,left
89,14,86,back
67,13,63,back
65,74,31,forward
31,29,24,spin_left
9,29,97,spin_right
20,87,37,forward
66,37,91,right
89,15,49,back
5,12,41,back
4,18,31,back
57,25,92,spin_right
15,63,11,forward
62,28,50,spin_left
94,33,73,left
88,77,79,forward
8,92,9,forward
96,37,27,left
0,25,64,spin_right
28,74,30,forward
