left,front,right,command
59,10,62,back
12,51,44,forward
25,40,41,right
19,26,5,spin_left
19,74,66,forward
22,58,4,forward
62,28,8,spin_left
4,26,56,spin_right
33,7,42,back
7,41,55,right
57,35,18,left
2,64,6,forward
61,2,73,back
18,66,25,forward
28,65,9,forward
22,48,28,right
4,1,69,back
34,64,22,forward
64,16,54,back
69,51,56,forward
36,46,24,left
16,22,13,spin_left
56,13,4,back
21,72,31,forward
49,19,40,back
30,3,27,back
17,71,24,forward
71,25,5,spin_left
58,12,10,back
31,17,34,back
67,55,28,forward
21,42,29,right
28,50,40,right
17,13,61,back
14,58,10,forward
11,74,56,forward
57,24,71,spin_right
34,55,19,forward
73,33,72,left
11,0,32,back
29,56,28,forward
19,59,0,forward
72,22,18,spin_left
37,7,52,back
16,5,14,back
27,17,30,back
70,72,34,forward
7,45,10,right
20,41,29,right
58,46,67,right
47,4,19,back
23,71,25,forward
70,39,1,left
18,32,54,right
56,38,34,left
15,44,38,right
59,40,23,left
27,31,42,right
74,68,67,forward
57,50,53,left
37,27,50,spin_right
38,37,68,right
14,31,13,left
52,29,51,spin_left
41,17,19,back
12,30,27,spin_right
60,60,5,forward
65,15,41,back
34,60,51,forward
34,41,57,right
59,46,72,right
56,32,2,left
56,24,59,spin_right
62,29,50,spin_left
39,71,38,forward
13,21,2,spin_left
46,10,14,back
64,31,20,left
19,24,74,spin_right
68,20,12,spin_left
62,34,0,left
20,30,5,spin_left
55,46,48,left
1,28,67,spin_right
64,32,15,left
10,71,12,forward
24,63,23,forward
53,59,19,forward
32,33,19,left
58,69,28,forward
74,60,69,forward
56,19,36,back
59,33,25,left
31,33,7,left
11,45,30,right
14,8,30,back
10,58,51,forward
52,73,25,forward
31,24,30,spin_left
59,0,53,back
47,32,40,left
45,66,73,forward
18,39,50,right
57,30,56,spin_left
58,37,11,left
19,50,43,right
6,54,19,forward
13,72,5,forward
68,37,17,left
4,39,46,right
46,50,59,right
42,44,30,left
11,14,6,back
38,36,4,left
36,72,59,forward
36,42,52,right
12,73,71,forward
42,30,71,spin_right
13,72,41,forward
8,32,52,right
15,17,26,back
67,2,52,back
36,5,35,back
13,31,41,right
25,55,63,forward
66,69,6,forward
7,6,13,back
60,68,0,forward
69,24,62,spin_left
73,60,74,forward
71,17,19,back
8,72,15,forward
22,54,36,forward
60,21,38,spin_left
64,18,19,back
69,61,60,forward
3,11,60,back
63,65,74,forward
13,25,5,spin_left
67,26,52,spin_left
40,6,69,back
32,60,41,forward
23,27,72,spin_right
5,25,72,spin_right
11,71,16,forward
9,47,17,right
25,7,66,back
72,51,49,forward
4,16,63,back
38,1,61,back
51,6,44,back
69,20,51,spin_left
20,28,54,spin_right
11,11,14,back
26,38,0,left
36,9,52,back
24,20,58,spin_right
70,60,12,forward
50,10,39,back
3,26,28,spin_right
62,30,18,spin_left
27,10,34,back
60,19,1,back
30,37,18,left
9,50,43,right
35,13,11,back
26,31,74,right
2,67,62,forward
48,12,10,back
18,27,4,spin_left
62,61,42,forward
6,18,24,back
23,57,37,forward
33,73,14,forward
26,60,50,forward
19,11,4,back
58,73,57,forward
72,18,13,back
30,26,18,spin_left
46,39,34,left
68,12,34,back
63,15,15,back
71,69,60,forward
24,16,40,back
35,72,54,forward
54,50,17,left
32,36,56,right
30,67,54,forward
69,52,69,forward
2,2,21,back
18,6,32,back
71,21,52,spin_left
58,37,2,left
1,51,4,forward
9,62,67,forward
26,44,52,right
56,3,58,back
62,30,11,spin_left
33,60,62,forward
60,16,28,back
55,62,46,forward
60,8,21,back
44,47,28,left
4,29,19,spin_right
45,65,54,forward
6,8,51,back
58,72,68,forward
70,24,68,spin_left
67,5,64,back
15,66,50,forward
0,2,27,back
5,15,10,back
60,61,17,forward
20,28,20,spin_right
12,7,58,back
54,4,31,back
44,21,19,spin_left
56,61,42,forward
3,74,60,forward
58,56,4,forward
19,8,19,back
10,11,37,back
40,59,29,forward
41,46,59,right
63,38,48,left
34,29,62,spin_right
54,25,57,spin_right
41,71,22,forward
60,29,2,spin_left
47,62,34,forward
6,15,54,back
13,66,73,forward
57,9,42,back
28,41,58,right
60,4,4,back
74,23,42,spin_left
25,32,57,right
2,35,73,right
20,49,29,right
60,17,59,back
74,2,18,back
28,47,26,left
4,71,58,forward
5,8,62,back
52,49,39,left
64,46,73,right
30,18,35,back
71,23,35,spin_left
60,25,41,spin_left
42,27,28,spin_left
16,74,54,forward
26,47,0,left
62,4,34,back
16,6,26,back
60,69,70,forward
22,55,10,forward
19,66,39,forward
9,48,1,left
40,15,17,back
2,37,25,right
46,70,73,forward
8,17,5,back
67,49,74,right
39,59,55,forward
49,21,63,spin_right
28,62,66,forward
33,21,26,spin_left
65,37,74,right
55,55,42,forward
65,12,41,back
43,49,32,left
66,38,59,left
74,12,4,back
54,56,26,forward
69,44,73,right
16,44,71,right
44,40,27,left
1,59,73,forward
54,73,55,forward
43,36,0,left
36,16,51,back
0,29,46,spin_right
42,44,6,left
1,11,28,back
52,45,55,right
12,7,70,back
8,20,5,spin_left
70,40,50,left
47,60,9,forward
26,73,33,forward
28,46,23,left
19,35,32,right
20,68,46,forward
44,10,62,back
50,72,9,forward
34,49,43,right
2,38,43,right
4,7,58,back
47,15,59,back
9,63,38,forward
18,52,54,forward
5,13,16,back
17,0,73,back
19,51,65,forward
55,5,17,back
27,54,45,forward
70,74,46,forward
29,56,36,forward
8,40,20,right
72,5,35,back
10,31,21,right
12,44,36,right
8,15,3,back
37,46,57,right
33,24,0,spin_left
0,66,43,forward
45,35,51,right
51,19,20,back
29,47,24,left
41,11,68,back
60,19,40,back
0,44,29,right
